Unnamed: 0,iso3,country,hdicode,hdi_rank_2022,gii_rank_2022,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,gender_inequality,secondary_education_f_%,secondary_education_m_%,seats_in_parliament_f_%,seats_in_parliament_m_%,labour_participation_f_%,labour_participation_m_%,co2_emission_tons,mat_footprint_percap_tons
4686,PRT,Portugal,Very High,42.0,21.0,2022,0.874,82.24,10.270865,0.872538804,0.874035328,84.93,79.308,16.82140923,17.07019997,16.57933044,9.575940132,9.607560158,9.538669586,35314.99828,31845.37525,39198.81947,0.998,0.076,59.74694061,61.92316818,36.95652174,63.04347826,54.7,63.12,3.881234231,14.3058
4719,QAT,Qatar,Very High,40.0,54.0,2022,0.875,81.559,2.695122,0.892561376,0.869100423,83.101,80.626,13.26426983,15.28956032,12.64908981,10.1317219,11.79638314,9.737610384,95944.37754,47963.67663,114134.8423,1.027,0.212,81.8327411,71.4179765,4.444444444,95.55555556,61.73,95.33,39.88427351,63.5912
4752,ROU,Romania,Very High,53.0,57.0,2022,0.827,74.117,19.6592665,0.817798791,0.833503726,77.619,70.724,14.50753021,15.04965019,13.99917984,11.36019615,11.09125994,11.65099415,31641.38368,22594.6875,41297.21764,0.981,0.23,89.36717029,93.99737853,18.88412017,81.11587983,42.29,62.04,3.993603248,15.9587
4785,RUS,Russian Federation,Very High,56.0,43.0,2022,0.821,70.116,144.713314,0.829113224,0.811700148,75.702,64.689,15.66174936,15.84734259,15.48440459,12.41152954,12.48219967,12.32425976,26991.84961,21781.1736,33000.80885,1.021,0.178,98.27648926,98.94474792,17.77059774,82.22940226,55.53,70.33,11.79848928,11.351
4818,RWA,Rwanda,Low,161.0,98.0,2022,0.548,67.129,13.7766975,0.523555778,0.568669607,69.244,64.813,11.38352013,11.49433041,11.28065968,4.878310204,4.522069931,5.351920128,2316.809277,1662.218331,3000.009352,0.921,0.4,14.60159969,18.73987961,54.71698113,45.28301887,54.76,66.21,0.115399861,3.4127
4851,KNA,Saint Kitts and Nevis,Very High,51.0,,2022,0.838,72.027,0.0476575,,,75.666,68.682,18.40703011,19.72978973,17.04659081,10.8494008,11.1219032,10.5768984,28441.68074,,,,,,,31.25,68.75,,,4.672520271,
4884,LCA,Saint Lucia,High,108.0,82.0,2022,0.725,71.294,0.1798575,0.728905001,0.719471901,74.887,68.005,12.71032047,13.39239979,12.05115986,8.576973425,8.837794323,8.326679395,14778.3463,11815.12887,17806.87554,1.013,0.347,50.00593172,44.02722023,24.13793103,75.86206897,62.66,75.83,2.594252189,
4917,VCT,Saint Vincent and the Grenadines,High,81.0,,2022,0.772,68.972,0.1039475,,,71.731,66.693,16.2530213,16.42287899,16.09251246,10.99625387,11.03757668,10.98694817,14049.14799,,,,,43.63830469,41.79062887,18.18181818,81.81818182,,,2.267377219,
4950,WSM,Samoa,High,116.0,101.0,2022,0.702,72.598,0.222382,0.686605036,0.709133201,75.333,70.146,12.4364,12.98814,11.93062,11.36735585,11.76791141,10.95704259,4970.232074,3314.285804,6562.379682,0.968,0.406,92.44230652,86.98742676,12.96296296,87.03703704,49.8,80.63,1.153480463,
4983,SMR,San Marino,Very High,43.0,,2022,0.867,83.433,0.0336605,0.852912779,0.883209541,84.733,82.036,12.40295982,11.98106003,12.88761044,10.52074301,10.6984396,10.51924979,57686.54334,50410.10236,65363.01089,0.966,,81.75823975,84.284729,33.33333333,66.66666667,70.36,70.58,,
5016,STP,Sao Tome and Principe,Medium,141.0,,2022,0.613,68.794,0.2273795,,,71.938,66.054,12.6637182,12.93469946,12.4790407,5.915788918,5.273353992,6.690563659,4054.106945,,,,,42.87084032,52.81669149,14.54545455,85.45454545,,,0.653094703,
5049,SAU,Saudi Arabia,Very High,40.0,55.0,2022,0.875,77.905,36.40882,0.832017761,0.896577417,79.525,76.666,15.17204484,15.52692067,14.817169,11.31052971,10.73622036,11.67045021,50620.43706,24647.00035,69723.10773,0.928,0.229,71.27487946,80.92530823,19.86754967,80.13245033,34.46,79.64,17.56422655,27.1018
5082,SEN,Senegal,Low,169.0,129.0,2022,0.517,67.913,17.316449,0.495771393,0.5361777,70.2,65.473,9.144550323,9.885959625,8.420060158,2.88736686,2.344075379,3.749680778,3463.806076,2256.290564,4711.642134,0.925,0.505,9.153320224,19.04797925,44.24242424,55.75757576,39.31,68.37,0.683799933,6.2689
