County, Early Voting,Education,
SHELBY,44.49,14.5,
SHERMAN,45.2,19.7,
SMITH,59.42,25.8,
SOMERVELL,63.05,23.9,
STARR,39.93,10.3,
STEPHENS,52.93,16.6,
STERLING,50.8,15.9,
STONEWALL,56.77,13.7,
SUTTON,54.39,17.7,
SWISHER,44.18,12.8,
TARRANT,60.17,31.5,
TAYLOR,54.38,24.5,
TERRELL,54.09,15.3,
TERRY,43.69,12,
THROCKMORTON,43.83,19,
TITUS,46.45,15.9,
TOM GREEN,47.75,24.2,
TRAVIS,64.24,48.6,
TRINITY,46.38,12.8,
TYLER,46.11,12.5,
UPSHUR,53.21,17,
UPTON,47.67,9.9,
UVALDE,47.12,15.8,
VAL VERDE,42.41,18.6,
VAN ZANDT,44.4,17.1,
VICTORIA,51.71,20.1, 
WALKER,55.35,20.6,
WALLER,54.04,19.9,
WARD,45,13.6,
WASHINGTON,60.3,25,
WEBB,36.89,18.4,
WHARTON,56.3,17.1,
WHEELER,46.53,16.6,
WICHITA,41.69,23,
WILBARGER,46.02,16.1,
WILLACY,28.06,10.1,
WILLIAMSON,68.9,41.1,
WILSON,59.22,20.5,
WINKLER,35.26,9.5,
WISE,59.48,17.5,
WOOD,59.62,16.4,
YOAKUM,48.17,16.3,
YOUNG,59.58,19.6,
ZAPATA,29.15,10.4,
ZAVALA,36.8,8.6,
